avg_da,avg_en
0.0,0.0067191087
0.0,0.0
0.0,0.0
0.008311688,0.0006555228
0.05090909,0.29842675
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.00950508
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.009220779,0.0093412
0.003896104,0.042281218
0.0035064935,0.014421501
0.0,0.0052441824
0.0,0.0
0.26922077,0.19927892
0.087142855,0.0024582103
0.00064935064,0.007538512
0.0,0.0
0.0,0.0044247787
0.0,0.0
0.0,0.0
0.0,0.0
0.0018181818,0.027204195
0.07376623,0.003933137
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0049164207
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.10051948,0.029662406
0.06506494,0.0034414947
0.0,0.0
0.0016883117,0.0
0.0,0.0003277614
0.0,0.0
0.04194805,0.023762701
0.0097402595,0.0013110456
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00012987012,0.0060635856
0.0,0.0
0.0,0.0
0.03181818,0.045722716
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.019480519,0.050639134
0.0,0.0
0.0,0.0072107506
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.004155844,0.095870204
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00025974025,0.029170765
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0014749262
0.0,0.0
0.0,0.0
0.0014285714,0.026057031
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.05,0.07259915
0.0,0.0
0.0,0.0
0.0037662338,0.003933137
0.0,0.0
0.009610389,0.011471649
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00987013,0.12258276
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.3148052,0.22599147
0.0,0.0
0.0,0.0
0.21922077,0.13241561
0.0,0.0
0.0,0.0
0.0,0.0
0.00025974025,0.049000327
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.005899705
0.00064935064,0.018190756
0.0,0.0
0.0,0.0
0.0018181818,0.036545396
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.03,0.0040970175
0.0,0.0
0.0,0.0
0.0,0.0
0.01012987,0.0001638807
0.0,0.0
0.0,0.0
0.0,0.0
0.0063636363,0.07620452
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0003896104,0.0
0.0007792208,0.0050803013
0.0,0.0
0.0,0.0
0.0,0.0
0.00064935064,0.0022943297
0.001038961,0.012454933
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.31454545,0.32661423
0.0,0.0
0.0,0.0
0.36038962,0.19239594
0.18,0.018846279
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0003896104,0.07604064
0.0,0.0
0.0,0.0
0.3577922,0.3117011
0.0,0.0
0.0,0.0
